epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
66,3855.98,0.34462,0.74124,0.18876,0,0,0,0,0.84806,1.71347,0.53916,0.000280275,0.000280275,0.000280275
67,3908.01,0.23593,0.43468,0.1121,0,0,0,0,0.88841,1.67392,0.53765,0.000266532,0.000266532,0.000266532
68,3960.25,0.30959,0.63072,0.17855,0,0,0,0,0.85466,1.68259,0.5285,0.000253024,0.000253024,0.000253024
69,4012.48,0.25883,0.53411,0.14791,0,0,0,0,0.82621,1.67683,0.52081,0.000239766,0.000239766,0.000239766
70,4064.93,0.24247,0.5343,0.13936,0,0,0,0,0.87585,1.69401,0.53158,0.000226769,0.000226769,0.000226769
71,4117.04,0.30773,0.60327,0.16628,0,0,0,0,0.89152,1.69759,0.53157,0.000214046,0.000214046,0.000214046
72,4169.16,0.211,0.35688,0.10853,0,0,0,0,0.87508,1.69136,0.53114,0.000201611,0.000201611,0.000201611
73,4221.21,0.31695,0.59222,0.17648,0,0,0,0,0.85748,1.68624,0.55359,0.000189475,0.000189475,0.000189475
74,4273.58,0.2745,0.46898,0.13767,0,0,0,0,0.91407,1.66196,0.54545,0.000177651,0.000177651,0.000177651
75,4325.85,0.3477,0.63832,0.19237,0,0,0,0,0.90654,1.64589,0.55663,0.000166149,0.000166149,0.000166149
76,4378.44,0.22868,0.44038,0.14436,0,0,0,0,0.87682,1.66895,0.52882,0.000154982,0.000154982,0.000154982
77,4431.16,0.28537,0.53705,0.16526,0,0,0,0,0.92561,1.65578,0.54957,0.000144161,0.000144161,0.000144161
78,4483.7,0.38914,0.7839,0.264,0,0,0,0,0.84153,1.66558,0.52174,0.000133695,0.000133695,0.000133695
79,4535.72,0.16092,0.34674,0.08586,0,0,0,0,0.81421,1.68992,0.51626,0.000123596,0.000123596,0.000123596
80,4587.92,0.31764,0.57398,0.16801,0,0,0,0,0.85404,1.6922,0.53986,0.000113873,0.000113873,0.000113873
81,4640.29,0.29167,0.59614,0.14945,0,0,0,0,0.84551,1.69732,0.52246,0.000104537,0.000104537,0.000104537
82,4692.84,0.33961,0.71582,0.18578,0,0,0,0,0.85219,1.69388,0.5258,9.55951e-05,9.55951e-05,9.55951e-05
83,4745.09,0.34569,0.63973,0.20819,0,0,0,0,0.86133,1.68189,0.52858,8.70577e-05,8.70577e-05,8.70577e-05
84,4797.23,0.28277,0.57791,0.15666,0,0,0,0,0.87432,1.67683,0.53089,7.89327e-05,7.89327e-05,7.89327e-05
85,4849.28,0.26243,0.5655,0.15763,0,0,0,0,0.87672,1.69157,0.55019,7.12282e-05,7.12282e-05,7.12282e-05
86,4901.67,0.2233,0.43042,0.11176,0,0,0,0,0.87286,1.69374,0.54364,6.39518e-05,6.39518e-05,6.39518e-05
87,4953.93,0.31675,0.59114,0.17246,0,0,0,0,0.87187,1.7103,0.56531,5.71106e-05,5.71106e-05,5.71106e-05
